,shape,width,height,position
0,rectangle,0.0,0.0,0.0
1,rectangle,0.0,0.0,0.02941
2,rectangle,0.0,0.0,0.05882
3,rectangle,0.0,0.0,0.08824
4,rectangle,0.0,0.0,0.11765
5,rectangle,0.0,0.0,0.14706
6,rectangle,0.0,0.0,0.17647
7,rectangle,0.0,0.0,0.20588
8,rectangle,0.0,0.0,0.23529
9,rectangle,0.0,0.0,0.26471
10,rectangle,0.0,0.0,0.29412
11,rectangle,0.0,0.0,0.32353
12,rectangle,0.0,0.0,0.35294
13,rectangle,0.0,0.0,0.38235
14,rectangle,0.0,0.0,0.41176
15,rectangle,0.0,0.0,0.44118
16,rectangle,0.0,0.0,0.47059
17,rectangle,0.0,0.0,0.5
18,rectangle,0.0,0.0,0.52941
19,rectangle,0.0,0.0,0.55882
20,rectangle,0.0,0.0,0.58824
21,rectangle,0.0,0.0,0.61765
22,rectangle,0.0,0.0,0.64706
23,rectangle,0.0,0.0,0.67647
24,rectangle,0.0,0.0,0.70588
25,rectangle,0.0,0.0,0.73529
26,rectangle,0.0,0.0,0.76471
27,rectangle,0.0,0.0,0.79412
28,rectangle,0.0,0.0,0.82353
29,rectangle,0.0,0.0,0.85294
30,rectangle,0.0,0.0,0.88235
31,rectangle,0.0,0.0,0.91176
32,rectangle,0.0,0.0,0.94118
33,rectangle,0.0,0.0,0.97059
34,rectangle,0.0,0.0,1.0
35,rectangle,0.0,0.1,0.0
36,rectangle,0.0,0.1,0.02941
37,rectangle,0.0,0.1,0.05882
38,rectangle,0.0,0.1,0.08824
39,rectangle,0.0,0.1,0.11765
40,rectangle,0.0,0.1,0.14706
41,rectangle,0.0,0.1,0.17647
42,rectangle,0.0,0.1,0.20588
43,rectangle,0.0,0.1,0.23529
44,rectangle,0.0,0.1,0.26471
45,rectangle,0.0,0.1,0.29412
46,rectangle,0.0,0.1,0.32353
47,rectangle,0.0,0.1,0.35294
48,rectangle,0.0,0.1,0.38235
49,rectangle,0.0,0.1,0.41176
50,rectangle,0.0,0.1,0.44118
51,rectangle,0.0,0.1,0.47059
52,rectangle,0.0,0.1,0.5
53,rectangle,0.0,0.1,0.52941
54,rectangle,0.0,0.1,0.55882
55,rectangle,0.0,0.1,0.58824
56,rectangle,0.0,0.1,0.61765
57,rectangle,0.0,0.1,0.64706
58,rectangle,0.0,0.1,0.67647
59,rectangle,0.0,0.1,0.70588
60,rectangle,0.0,0.1,0.73529
61,rectangle,0.0,0.1,0.76471
62,rectangle,0.0,0.1,0.79412
63,rectangle,0.0,0.1,0.82353
64,rectangle,0.0,0.1,0.85294
65,rectangle,0.0,0.1,0.88235
66,rectangle,0.0,0.1,0.91176
67,rectangle,0.0,0.1,0.94118
68,rectangle,0.0,0.1,0.97059
69,rectangle,0.0,0.1,1.0
70,rectangle,0.0,0.2,0.0
71,rectangle,0.0,0.2,0.02941
72,rectangle,0.0,0.2,0.05882
73,rectangle,0.0,0.2,0.08824
74,rectangle,0.0,0.2,0.11765
75,rectangle,0.0,0.2,0.14706
76,rectangle,0.0,0.2,0.17647
77,rectangle,0.0,0.2,0.20588
78,rectangle,0.0,0.2,0.23529
79,rectangle,0.0,0.2,0.26471
80,rectangle,0.0,0.2,0.29412
81,rectangle,0.0,0.2,0.32353
82,rectangle,0.0,0.2,0.35294
83,rectangle,0.0,0.2,0.38235
84,rectangle,0.0,0.2,0.41176
85,rectangle,0.0,0.2,0.44118
86,rectangle,0.0,0.2,0.47059
87,rectangle,0.0,0.2,0.5
88,rectangle,0.0,0.2,0.52941
89,rectangle,0.0,0.2,0.55882
90,rectangle,0.0,0.2,0.58824
91,rectangle,0.0,0.2,0.61765
92,rectangle,0.0,0.2,0.64706
93,rectangle,0.0,0.2,0.67647
94,rectangle,0.0,0.2,0.70588
95,rectangle,0.0,0.2,0.73529
96,rectangle,0.0,0.2,0.76471
97,rectangle,0.0,0.2,0.79412
98,rectangle,0.0,0.2,0.82353
99,rectangle,0.0,0.2,0.85294
100,rectangle,0.0,0.2,0.88235
101,rectangle,0.0,0.2,0.91176
102,rectangle,0.0,0.2,0.94118
103,rectangle,0.0,0.2,0.97059
104,rectangle,0.0,0.2,1.0
105,rectangle,0.0,0.3,0.0
106,rectangle,0.0,0.3,0.02941
107,rectangle,0.0,0.3,0.05882
108,rectangle,0.0,0.3,0.08824
109,rectangle,0.0,0.3,0.11765
110,rectangle,0.0,0.3,0.14706
111,rectangle,0.0,0.3,0.17647
112,rectangle,0.0,0.3,0.20588
113,rectangle,0.0,0.3,0.23529
114,rectangle,0.0,0.3,0.26471
115,rectangle,0.0,0.3,0.29412
116,rectangle,0.0,0.3,0.32353
117,rectangle,0.0,0.3,0.35294
118,rectangle,0.0,0.3,0.38235
119,rectangle,0.0,0.3,0.41176
120,rectangle,0.0,0.3,0.44118
121,rectangle,0.0,0.3,0.47059
122,rectangle,0.0,0.3,0.5
123,rectangle,0.0,0.3,0.52941
124,rectangle,0.0,0.3,0.55882
125,rectangle,0.0,0.3,0.58824
126,rectangle,0.0,0.3,0.61765
127,rectangle,0.0,0.3,0.64706
128,rectangle,0.0,0.3,0.67647
129,rectangle,0.0,0.3,0.70588
130,rectangle,0.0,0.3,0.73529
131,rectangle,0.0,0.3,0.76471
132,rectangle,0.0,0.3,0.79412
133,rectangle,0.0,0.3,0.82353
134,rectangle,0.0,0.3,0.85294
135,rectangle,0.0,0.3,0.88235
136,rectangle,0.0,0.3,0.91176
137,rectangle,0.0,0.3,0.94118
138,rectangle,0.0,0.3,0.97059
139,rectangle,0.0,0.3,1.0
140,rectangle,0.0,0.4,0.0
141,rectangle,0.0,0.4,0.02941
142,rectangle,0.0,0.4,0.05882
143,rectangle,0.0,0.4,0.08824
144,rectangle,0.0,0.4,0.11765
145,rectangle,0.0,0.4,0.14706
146,rectangle,0.0,0.4,0.17647
147,rectangle,0.0,0.4,0.20588
148,rectangle,0.0,0.4,0.23529
149,rectangle,0.0,0.4,0.26471
150,rectangle,0.0,0.4,0.29412
151,rectangle,0.0,0.4,0.32353
152,rectangle,0.0,0.4,0.35294
153,rectangle,0.0,0.4,0.38235
154,rectangle,0.0,0.4,0.41176
155,rectangle,0.0,0.4,0.44118
156,rectangle,0.0,0.4,0.47059
157,rectangle,0.0,0.4,0.5
158,rectangle,0.0,0.4,0.52941
159,rectangle,0.0,0.4,0.55882
160,rectangle,0.0,0.4,0.58824
161,rectangle,0.0,0.4,0.61765
162,rectangle,0.0,0.4,0.64706
163,rectangle,0.0,0.4,0.67647
164,rectangle,0.0,0.4,0.70588
165,rectangle,0.0,0.4,0.73529
166,rectangle,0.0,0.4,0.76471
167,rectangle,0.0,0.4,0.79412
168,rectangle,0.0,0.4,0.82353
169,rectangle,0.0,0.4,0.85294
170,rectangle,0.0,0.4,0.88235
171,rectangle,0.0,0.4,0.91176
172,rectangle,0.0,0.4,0.94118
173,rectangle,0.0,0.4,0.97059
174,rectangle,0.0,0.4,1.0
175,rectangle,0.0,0.5,0.0
176,rectangle,0.0,0.5,0.02941
177,rectangle,0.0,0.5,0.05882
178,rectangle,0.0,0.5,0.08824
179,rectangle,0.0,0.5,0.11765
180,rectangle,0.0,0.5,0.14706
181,rectangle,0.0,0.5,0.17647
182,rectangle,0.0,0.5,0.20588
183,rectangle,0.0,0.5,0.23529
184,rectangle,0.0,0.5,0.26471
185,rectangle,0.0,0.5,0.29412
186,rectangle,0.0,0.5,0.32353
187,rectangle,0.0,0.5,0.35294
188,rectangle,0.0,0.5,0.38235
189,rectangle,0.0,0.5,0.41176
190,rectangle,0.0,0.5,0.44118
191,rectangle,0.0,0.5,0.47059
192,rectangle,0.0,0.5,0.5
193,rectangle,0.0,0.5,0.52941
194,rectangle,0.0,0.5,0.55882
195,rectangle,0.0,0.5,0.58824
196,rectangle,0.0,0.5,0.61765
197,rectangle,0.0,0.5,0.64706
198,rectangle,0.0,0.5,0.67647
199,rectangle,0.0,0.5,0.70588
200,rectangle,0.0,0.5,0.73529
201,rectangle,0.0,0.5,0.76471
202,rectangle,0.0,0.5,0.79412
203,rectangle,0.0,0.5,0.82353
204,rectangle,0.0,0.5,0.85294
205,rectangle,0.0,0.5,0.88235
206,rectangle,0.0,0.5,0.91176
207,rectangle,0.0,0.5,0.94118
208,rectangle,0.0,0.5,0.97059
209,rectangle,0.0,0.5,1.0
210,rectangle,0.0,0.6,0.0
211,rectangle,0.0,0.6,0.02941
